Site.ID,Biomasstype,Site,Invasion,Treatment,Weight_20by100_cm,Treatment
1,Litter,PnK,Native,Open,15.515,Open
1,Living,PnK,Native,Open,95.89,Open
2,Litter,PnK,Native,No livestock,39.14,No livestock
2,Living,PnK,Native,No livestock,177.355,No livestock
3,Litter,PnK,Native,No mammals,38.95,No mammals
3,Living,PnK,Native,No mammals,117.16,No mammals
4,Litter,PnK,Native,No insects,162.025,No insects
4,Living,PnK,Native,No insects,53.76,No insects
5,Litter,PnK,Invaded,Open,78.44,Open
5,Living,PnK,Invaded,Open,71.025,Open
6,Litter,PnK,Invaded,No livestock,107.475,No livestock
6,Living,PnK,Invaded,No livestock,326.45,No livestock
7,Littter,PnK,Invaded,No mammals,88.43,No mammals
7,Living,PnK,Invaded,No mammals,140.95,No mammals
8,Litter,PnK,Invaded,No insects,140.9,No insects
8,Living,PnK,Invaded,No insects,62.34,No insects
9,Litter,Vivan,Native,Open,47.16,Open
9,Living,Vivan,Native,Open,86.74,Open
10,Litter,Vivan,Native,No livestock,79.08,No livestock
10,Living,Vivan,Native,No livestock,NA,No livestock
11,Litter,Vivan,Native,No mammals,85.83,No mammals
11,Living,Vivan,Native,No mammals,114.195,No mammals
12,Litter,Vivan,Native,No insects,137.845,Open
12,Living,Vivan,Native,No insects,50.92,Open
13,Litter,Vivan,Invaded,Open,4.76,No livestock
13,Living,Vivan,Invaded,Open,66.59,No livestock
14,Litter,,Invaded,No livestock,149.545,No mammals
14,Living,Vivan,Invaded,No livestock,258.3,No mammals
15,Litter,Vivan,Invaded,No mammals,86.985,No insects
15,Living,Vivan,Invaded,No mammals,188.01,No insects
16,Litter,Vivan,Invaded,No insects,141.795,Open
16,Living,Vivan,Invaded,No insects,40.465,Open
17,Litter,Alistair,Native,Open,88.77,No livestock
17,Living,Alistair,Native,Open,97.21,No livestock
18,Litter,Alistair,Native,No livestock,116.55,No mammals
18,Living,Alistair,Native,No livestock,106.46,No mammals
19,Litter,Alistair,Native,No mammals,110.365,No insects
19,Living,Alistair,Native,No mammals,164.41,No insects
20,Litter,Alistair,Native,No insects,114.525,Open
20,Living,Alistair,Native,No insects,35.55,Open
21,Litter,Alistair,Invaded,Open,91.09,No livestock
21,Living,Alistair,Invaded,Open,161.185,No livestock
22,Litter,Alistair,Invaded,No mammals,85.925,No mammals
22,Living,Alistair,Invaded,No mammals,133.29,No mammals
23,Litter,Alistair,Invaded,No livestock,100.12,Open
23,Living,Alistair,Invaded,No livestock,155.325,Open
24,Litter,Alistair,Invaded,No insects,300.655,No livestock
24,Living,Alistair,Invaded,No insects,302.095,No livestock
25,Litter,Ian,Native,Open,23.73,No mammals
25,Living,Ian,Native,Open,102.275,No mammals
26,Litter,Ian,Native,No mammals,46.695,No insects
26,Living,Ian,Native,No mammals,83.615,No insects
27,Litter,Ian,Native,No livestock,108.47,Open
27,Living,Ian,Native,No livestock,176.59,Open
28,Litter,Ian,Native,No insects,93.745,No livestock
28,Living,Ian,Native,No insects,25.14,No livestock
29,Litter,Ian,Invaded,Open,23.84,No mammals
29,Living,Ian,Invaded,Open,111.635,No mammals
30,Litter,Ian,Invaded,No livestock,51.415,No insects
30,Living,Ian,Invaded,No livestock,102.105,No insects
31,Litter,Ian,Invaded,No mammals,80.555,Open
31,Living,Ian,Invaded,No mammals,234.2,Open
32,Litter,Ian,Invaded,No insects,129.265,No livestock
32,Living,Ian,Invaded,No insects,74.095,No livestock
33,Litter,Helen,Native,Open,63.99,No mammals
33,Living,Helen,Native,Open,168.875,No mammals
34,Litter,Helen,Native,No livestock,57.41,Open
34,Living,Helen,Native,No livestock,122.195,Open
35,Litter,Helen,Native,No mammals,44.15,No livestock
35,Living,Helen,Native,No mammals,136.585,No livestock
36,Litter,Helen,Native,No insects,154.425,No mammals
36,Living,Helen,Native,No insects,102.595,No mammals
37,Litter,Helen,Invaded,Open,104.795,No insects
37,Living,Helen,Invaded,Open,146.925,No insects
38,Litter,Helen,Invaded,No livestock,55.965,Open
38,Living,Helen,Invaded,No livestock,154.64,Open
39,Litter,Helen,Invaded,No mammals,102.325,No livestock
39,Living,Helen,Invaded,No mammals,138.335,No livestock
40,Litter,Helen,Invaded,No insects,217.32,No mammals
40,Living,Helen,Invaded,No insects,19.405,No mammals
41,Litter,David,Native,Open,47.16,No insects
41,Living,David,Native,Open,53.045,No insects
42,Litter,David,Native,No livestock,92.225,Open
42,Living,David,Native,No livestock,64.19,Open
43,Litter,David,Native,No mammals,73.465,No livestock
43,Living,David,Native,No mammals,75.295,No livestock
44,Litter,David,Native,No insects,90.435,No mammals
44,Living,David,Native,No insects,35.73,No mammals
45,Litter,David,Invaded,Open,33.22,Open
45,Living,David,Invaded,Open,60.1,Open
46,Litter,David,Invaded,No livestock,78.965,No livestock
46,Living,David,Invaded,No livestock,159.39,No livestock
47,Litter,David,Invaded,No mammals,99.55,No mammals
47,Living,David,Invaded,No mammals,76.015,No mammals
48,Litter,David,Invaded,No insects,136.085,No insects
488,Living,David,Invaded,No insects,150.84,No insects
,,,,,,Open
,,,,,,Open
,,,,,,No livestock
,,,,,,No livestock
,,,,,,No mammals
,,,,,,No mammals
,,,,,,No insects
,,,,,,No insects
,,,,,,Open
,,,,,,Open
,,,,,,No livestock
,,,,,,No livestock
,,,,,,No mammals
,,,,,,No mammals